Numero,Area,Centroide_x,Centroide_y,R,G,B
1,13,26.615384615384617,253.76923076923077,0,255,0
2,98,32.59183673469388,95.93877551020408,0,0,255
3,86,33.43023255813954,126.36046511627907,255,0,255
4,170,41.72941176470588,211.47058823529412,128,0,0
5,58,34.5,106.36206896551724,0,128,0
6,214,41.92056074766355,160.44392523364485,0,0,128
7,20,36.2,232.75,0,255,255
8,99,45.06060606060606,6.97979797979798,255,0,255
9,69,47.028985507246375,136.8985507246377,128,0,128
10,371,64.22911051212938,56.088948787061994,0,128,0
11,97,55.91752577319588,179.06185567010309,166,208,92
12,187,61.94117647058823,240.66310160427807,131,214,167
13,150,70.95333333333333,35.473333333333336,180,71,209
14,71,65.54929577464789,88.64788732394366,218,121,144
15,178,76.98876404494382,166.69662921348313,255,0,0
16,57,69.2280701754386,102.10526315789474,0,255,0
17,357,80.4593837535014,138.87394957983193,0,0,255
18,108,75.12962962962963,222.50925925925927,255,0,255
19,67,79.17910447761194,117.61194029850746,128,0,0
20,103,78.90291262135922,196.76699029126215,0,128,0
21,161,94.37267080745342,69.33540372670808,0,0,128
22,63,95.71428571428571,1.7301587301587302,0,255,255
23,155,98.50322580645161,102.31612903225806,255,0,255
24,141,101.19858156028369,210.04255319148936,128,0,128
25,114,101.60526315789474,126.14035087719299,0,128,0
26,308,114.71103896103897,239.25324675324674,166,208,92
27,686,119.6865889212828,161.62536443148687,131,214,167
28,135,111.53333333333333,12.014814814814814,180,71,209
29,108,113.68518518518519,47.9537037037037,218,121,144
30,724,137.3245856353591,99.58011049723757,255,0,0
31,143,120.3076923076923,194.35664335664336,0,255,0
32,122,129.5737704918033,126.52459016393442,0,0,255
33,667,153.74362818590706,35.88605697151424,255,0,255
34,142,135.83098591549296,217.32394366197184,128,0,0
35,203,147.41871921182266,71.28571428571429,0,128,0
36,344,161.28488372093022,196.09011627906978,0,0,128
37,47,158.2340425531915,1.6595744680851063,0,255,255
38,100,159.64,170.34,255,0,255
39,154,162.45454545454547,239.53246753246754,128,0,128
40,103,168.89320388349515,130.88349514563106,0,128,0
41,223,171.39461883408072,220.27354260089686,166,208,92
42,107,190.47663551401868,176.9532710280374,131,214,167
43,72,190.73611111111111,90.33333333333333,180,71,209
44,78,191.7051282051282,206.23076923076923,218,121,144
45,102,191.81372549019608,142.44117647058823,255,0,0
46,267,201.53932584269663,126.45692883895131,0,255,0
47,529,201.95274102079395,230.9413988657845,0,0,255
48,220,204.62272727272727,16.118181818181817,255,0,255
49,92,204.30434782608697,99.3695652173913,128,0,0
50,102,214.6764705882353,1.8235294117647058,0,128,0
51,126,208.53968253968253,183.0,0,0,128
52,131,213.5801526717557,151.75572519083968,0,255,255
53,378,223.6031746031746,77.93121693121694,255,0,255
54,70,226.17142857142858,108.65714285714286,128,0,128
55,118,232.95762711864407,165.38135593220338,0,128,0
56,119,237.31932773109244,181.25210084033614,166,208,92
57,451,243.0731707317073,214.08869179600887,131,214,167
58,89,237.06741573033707,251.96629213483146,180,71,209
59,109,242.7981651376147,140.10091743119267,218,121,144
60,50,252.48,238.6,255,0,0
61,32,253.28125,109.96875,0,255,0
