Numero,Area,Centroide_x,Centroide_y,R,G,B
1,4,38.75,185.25,0,255,0
2,67,60.26865671641791,115.80597014925372,0,0,255
3,17,62.294117647058826,232.35294117647058,255,0,255
4,60,78.25,252.61666666666667,128,0,0
5,22,82.04545454545455,86.18181818181819,0,128,0
6,44,82.38636363636364,111.88636363636364,0,0,128
7,98,83.46938775510205,213.59183673469389,0,255,255
8,32,85.21875,1.34375,255,0,255
9,25,90.16,56.68,128,0,128
10,78,94.61538461538461,183.92307692307693,0,128,0
11,124,96.26612903225806,161.3709677419355,166,208,92
12,96,100.72916666666667,36.802083333333336,131,214,167
13,41,107.4390243902439,20.951219512195124,180,71,209
14,210,111.74285714285715,118.65238095238095,218,121,144
15,24,105.25,131.20833333333334,255,0,0
16,51,110.09803921568627,213.5686274509804,0,255,0
17,470,121.80425531914894,240.73191489361702,0,0,255
18,144,120.53472222222223,191.3125,255,0,255
19,29,114.3103448275862,1.6896551724137931,128,0,0
20,364,125.96703296703296,83.14285714285714,0,128,0
21,60,122.53333333333333,51.15,0,0,128
22,45,122.46666666666667,35.93333333333333,0,255,255
23,153,128.64705882352942,155.0261437908497,255,0,255
24,73,126.68493150684931,205.8082191780822,128,0,128
25,123,144.5691056910569,106.35772357723577,0,128,0
26,79,141.16455696202533,11.164556962025317,166,208,92
27,235,149.93191489361703,64.91063829787234,131,214,167
28,91,152.36263736263737,45.637362637362635,180,71,209
29,1659,195.31223628691984,171.96684749849308,218,121,144
30,93,156.93548387096774,230.81720430107526,255,0,0
31,148,163.50675675675674,182.74324324324326,0,255,0
32,76,160.1184210526316,162.46052631578948,0,0,255
33,373,171.65951742627345,204.7024128686327,255,0,255
34,91,167.63736263736263,5.131868131868132,128,0,0
35,84,169.97619047619048,24.845238095238095,0,128,0
36,256,181.89453125,71.54296875,0,0,128
37,125,174.376,238.064,0,255,255
38,77,180.0909090909091,51.54545454545455,255,0,255
39,207,187.45893719806764,87.73429951690821,128,0,128
40,489,187.53169734151328,18.75869120654397,0,128,0
41,92,184.32608695652175,121.69565217391305,166,208,92
42,360,202.43055555555554,244.2861111111111,131,214,167
43,93,200.8279569892473,127.29032258064517,180,71,209
44,122,206.71311475409837,104.42622950819673,218,121,144
45,218,212.46330275229357,18.174311926605505,255,0,0
46,81,213.46913580246914,139.28395061728395,0,255,0
47,104,220.22115384615384,85.66346153846153,0,0,255
48,240,228.90833333333333,48.3125,255,0,255
49,254,232.5748031496063,150.83858267716536,128,0,0
50,195,229.89743589743588,246.26153846153846,0,128,0
51,135,233.83703703703705,111.80740740740741,0,0,128
52,97,242.71134020618555,31.412371134020617,0,255,255
53,86,241.6046511627907,125.5,255,0,255
54,271,247.0590405904059,197.08856088560884,128,0,128
55,118,249.10169491525423,17.889830508474578,0,128,0
56,56,251.875,161.35714285714286,166,208,92
57,1,255.0,196.0,131,214,167
