Numero,Area,Centroide_x,Centroide_y,R,G,B
1,158,34.265822784810126,156.27215189873417,0,255,0
2,34,34.470588235294116,236.97058823529412,0,0,255
3,17,44.705882352941174,102.70588235294117,255,0,255
4,22,46.63636363636363,211.86363636363637,128,0,0
5,6,50.0,32.5,0,128,0
6,100,60.18,20.34,0,0,128
7,6,52.0,185.5,0,255,255
8,66,60.63636363636363,45.13636363636363,255,0,255
9,21,56.80952380952381,87.04761904761905,128,0,128
10,110,62.72727272727273,114.7090909090909,0,128,0
11,125,65.32,3.84,166,208,92
12,87,63.172413793103445,71.47126436781609,131,214,167
13,43,62.7906976744186,232.90697674418604,180,71,209
14,58,68.03448275862068,191.22413793103448,218,121,144
15,87,70.04597701149426,203.93103448275863,255,0,0
16,112,72.375,91.97321428571429,0,255,0
17,470,96.08723404255319,141.32340425531916,0,0,255
18,113,85.14159292035399,178.79646017699116,255,0,255
19,9,84.33333333333333,254.66666666666666,128,0,0
20,59,87.15254237288136,229.20338983050848,0,128,0
21,185,97.10810810810811,31.16216216216216,0,0,128
22,54,97.96296296296296,82.05555555555556,0,255,255
23,192,104.421875,206.04166666666666,255,0,255
24,187,111.97326203208556,7.0588235294117645,128,0,128
25,127,109.28346456692914,59.83464566929134,0,128,0
26,84,109.03571428571429,235.63095238095238,166,208,92
27,62,109.62903225806451,96.20967741935483,131,214,167
28,173,116.33526011560694,170.64739884393063,180,71,209
29,40,111.1,253.0,218,121,144
30,73,123.0958904109589,86.5068493150685,255,0,0
31,66,123.66666666666667,71.66666666666667,0,255,0
32,393,137.3409669211196,234.64631043256998,0,0,255
33,87,136.80459770114942,159.45977011494253,255,0,255
34,194,142.54123711340208,133.24742268041237,128,0,0
35,110,142.1727272727273,198.1090909090909,0,128,0
36,119,149.63025210084032,182.0672268907563,0,0,128
37,141,159.3049645390071,114.17021276595744,0,255,255
38,905,171.05635359116022,140.4011049723757,255,0,255
39,97,161.57731958762886,250.27835051546393,128,0,128
40,474,178.28902953586498,206.53164556962025,0,128,0
41,390,182.05897435897435,37.10769230769231,166,208,92
42,64,195.421875,252.203125,131,214,167
43,116,200.04310344827587,220.82758620689654,180,71,209
44,99,202.64646464646464,117.28282828282828,218,121,144
45,92,206.6304347826087,241.3695652173913,255,0,0
46,105,211.0,207.56190476190477,0,255,0
47,172,216.26162790697674,145.5174418604651,0,0,255
48,598,219.92307692307693,173.44983277591973,255,0,255
49,212,223.5943396226415,105.77358490566037,128,0,0
50,148,225.89864864864865,130.80405405405406,0,128,0
51,119,231.68067226890756,194.109243697479,0,0,128
52,55,237.65454545454546,252.85454545454544,0,255,255
53,117,242.0854700854701,206.89743589743588,255,0,255
54,156,248.25641025641025,152.03205128205127,128,0,128
55,112,251.14285714285714,95.14285714285714,0,128,0
56,72,251.22222222222223,239.52777777777777,166,208,92
